studyId,siteName,isPoly,latDD (float),lonDD (float),polyWKT (string),collectionYear,latestYear,earliestYear,genus,species,subspecies,auth,studyTitle (string),investigators (string),webLocation (string),added
database_itrdb_ak065,Gordon's Cat,FALSE,65.2,-162.2,,2002,2002,1400,Picea,glauca,,(Moench) Voss,D'Arrigo - Gordon's Cat - PCGL - ITRDB AK065,"D'Arrigo, R.D.; Mashig, E.; Frank, D.C.; Wilson, R.J.S.; Jacoby, G.C.",https://doi.org/10.25921/keg3-6m90,FALSE
database_itrdb_ak066,Hey Bear,FALSE,65.22,-162.22,,2002,2002,1533,Picea,glauca,,(Moench) Voss,D'Arrigo - Hey Bear - PCGL - ITRDB AK066,"D'Arrigo, R.D.; Mashig, E.; Frank, D.C.; Wilson, R.J.S.; Jacoby, G.C.",https://doi.org/10.25921/07g3-de30,FALSE
database_itrdb_ak067,Hey Bear Upper,FALSE,65.22,-162.22,,2002,2002,1383,Picea,glauca,,(Moench) Voss,D'Arrigo - Hey Bear Upper - PCGL - ITRDB AK067,"D'Arrigo, R.D.; Mashig, E.; Frank, D.C.; Wilson, R.J.S.; Jacoby, G.C.",https://doi.org/10.25921/0nc9-bc49,FALSE
database_itrdb_ak068,Mt. Mole,FALSE,65.08,-162.18,,2002,2002,1550,Picea,glauca,,(Moench) Voss,D'Arrigo - Mt. Mole - PCGL - ITRDB AK068,"D'Arrigo, R.D.; Mashig, E.; Frank, D.C.; Wilson, R.J.S.; Jacoby, G.C.",https://doi.org/10.25921/chbz-8k43,FALSE
database_itrdb_ak069,Ptarmigan Hill,FALSE,65.07,-162.23,,2002,2002,1718,Picea,glauca,,(Moench) Voss,D'Arrigo - Ptarmigan Hill - PCGL - ITRDB AK069,"D'Arrigo, R.D.; Mashig, E.; Frank, D.C.; Wilson, R.J.S.; Jacoby, G.C.",https://doi.org/10.25921/dqn8-n785,FALSE
database_itrdb_ak070,Windy Ridge Alaska,FALSE,65.18,-162.22,,2002,2002,1556,Picea,glauca,,(Moench) Voss,D'Arrigo - Windy Ridge Alaska - PCGL - ITRDB AK070,"D'Arrigo, R.D.; Mashig, E.; Frank, D.C.; Wilson, R.J.S.; Jacoby, G.C.",https://doi.org/10.25921/jfz0-p080,FALSE
database_itrdb_ak085,Dalton Highway Mile Post 235,FALSE,68.03,-149.68,,2005,2005,1806,Picea,glauca,,(Moench) Voss,Lloyd - Dalton Highway Mile Post 235 - PCGL - ITRDB AK085,"Lloyd, A.H.; Fastie, C.L.",https://doi.org/10.25921/kzdr-t374,FALSE
database_itrdb_ak086,Fish Trap,FALSE,60.48,-154.33,,2003,2003,1627,Picea,glauca,,(Moench) Voss,Wiles - Fish Trap - PCGL - ITRDB AK086,"Wiles, G.; Driscoll, W.; D'Arrigo, R.D.",https://doi.org/10.25921/0g76-6v14,FALSE
database_itrdb_ak087,Portage Lake,FALSE,60.5,-153.88,,2003,2003,1672,Picea,glauca,,(Moench) Voss,Wiles - Portage Lake - PCGL - ITRDB AK087,"Wiles, G.; Driscoll, W.; D'Arrigo, R.D.",https://doi.org/10.25921/cvb6-f776,FALSE
database_itrdb_ak088,Middle Telaquana,FALSE,60.97,-153.92,,2003,2003,1769,Picea,glauca,,(Moench) Voss,Wiles - Middle Telaquana - PCGL - ITRDB AK088,"Wiles, G.; Driscoll, W.; D'Arrigo, R.D.",https://doi.org/10.25921/p27g-2d77,FALSE
