study_id,ITRDB_Code,Study_Name,Latitude,Longitude,Elevation,Species,FirstYear,LastYear
3991,FINL021,Meril‰inen - Karhunpes‰kivi Inari - PISY - ITRDB FINL021,68.83,27.25,200,PISY,1410,2001
34182,FINL088,Esper - Karhunpes‰kivi Wet - PISY - ITRDB FINL088,68.83,27.31,258,PISY,1511,2011
34183,FINL089,Esper - Karhunpes‰kivi Dry - PISY - ITRDB FINL089,68.83,27.31,258,PISY,1654,2011
3742,NORW010,Kirchhefer - Forfjorddalen 2 - PISY - ITRDB NORW010,68.8,15.73,110,PISY,877,1994
4381,RUSS107,Schweingruber - Cherskij - LAGM - ITRDB RUSS107,68.8,163.05,300,LAGM,1538,1991
12570,CANA315,Jacoby - Firth River Yukon - PCGL - ITRDB CANA315,68.7833,-142.35,,PCGL,1067,2002
34190,FINL096,Esper - Kutuj‰rvi Wet - PISY - ITRDB FINL096,68.77,27.15,170,PISY,1752,2015
34191,FINL097,Esper - Kutuj‰rvi Dry - PISY - ITRDB FINL097,68.77,27.15,170,PISY,1744,2015
4547,RUSS093,Schweingruber - Murmashi - PISY - ITRDB RUSS093,68.77,32.8,140,PISY,1715,1992
4546,RUSS096,Schweingruber - Murmashi - PCAB - ITRDB RUSS096,68.77,32.8,140,PCAB,1678,1992
9925,RUSS194,Bunn - Cherskii - LAGM - ITRDB RUSS194,68.75,161.4167,40,LAGM,1718,2007
9927,RUSS196,Bunn - Grass Lake - LAGM - ITRDB RUSS196,68.75,161.3833,86,LAGM,1805,2007
9929,RUSS198,Bunn - Rodenka Hill - LAGM - ITRDB RUSS198,68.7333,161.55,186,LAGM,1835,2007
31114,CANA614,Sniderhan - Trail Valley Creek - PCMA - ITRDB CANA614,68.7317,-133.4917,70,PCMA,1881,2014
29754,AK176,Andreu-Hayles - SG Dalton Highway - SASP - ITRDB AK176,68.7,-148.9,,SASP,1964,2010
19844,CANA501,Porter - Axel Channel Mackenzie Delta - PCGL - ITRDB CANA501,68.6833,-134.5167,2,PCGL,1579,2006
2834,FINL060,Briffa - Morgammaras - PISY - ITRDB FINL060,68.67,25.87,300,PISY,1536,1983
9926,RUSS195,Bunn - Dvanieyar - LAGM - ITRDB RUSS195,68.6667,159.0833,10,LAGM,1840,2007
22053,AK151,Ackerman - Kuparuk Riparian - SAPC - ITRDB AK151,68.662,-149.43,717,SAPC,1972,2015
22054,AK152,Ackerman - Kuparuk Upland - SAPC - ITRDB AK152,68.662,-149.428,720,SAPC,1965,2015
14790,AK132,Anchukaitis - Firth River 1236 - PCGL - ITRDB AK132,68.65,-141.63,790,PCGL,1073,2002
4020,RUSS182,Meril‰inen - Verhnutulomskij Yl‰-Tuuloma - PISY - ITRDB RUSS182,68.65,31.67,-999,PISY,1681,2001
11228,RUSS208,Forbes - Varandei - SALA - ITRDB RUSS208,68.65,58.3667,30,SALA,1921,2005
23933,AK164,Ackerman - Itkillik Upland - SAPC - ITRDB AK164,68.641,-149.614,739,SAPC,1962,2016
